value	class_draft	evidence	source
TRIK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
TRIK. Ind.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:TRIK.
TRIVIKRAMABHAṬṬA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
TROY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
TROYER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
TROYER, RĀJA-TAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:TROYER
TRÜBNERʼs Record	book-work	default: bib expansion with no person/periodical signal	no-bib-record
TS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
TS. ANUKR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
TS. Comm.	commentary-of-work	Comm./Tīkā marker in value	pwgbib-exact
TS. PRĀT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
Text	person-western?	Latin-script surname pattern	no-bib-record
Tib. Lebensb. Śāky.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
Trans. R. A. S.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
Tüb. Hdschr.	person-western?	Latin-script surname pattern	pwgbib-exact
Tübinger Universitätsbibl.	person-western?	Latin-script surname pattern	no-bib-record
TĀRAN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
TĀRANĀTHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
TĀṆḌYA-BR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
TĀṆḌYA-BRĀHMAṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UDBHAṬA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UDBHAṬADVYARTHAPADYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UDDHAVADŪTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UDVĀHAT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UDVĀHATATTVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UJJVAL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UJJVAL. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:UJJVAL.
UJJVAL. Ind.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:UJJVAL.
UJJVAL., UṆĀDIS. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:UJJVAL.
UJJVALAD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UJJVALADATTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UJJVALANĪLAMAṆI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UPAG.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UPAG. AV.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
UPAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UPAL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UPALEKHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UPANIṢAD	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UPAPURĀṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTKALAKALIKĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTKALAKHAṆḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTPALA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTPALINĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTPALINĪK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTPALINĪKOŚA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTPATTITANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTT. RĀMAC.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTTAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTTARACORAPAÑCĀŚIKĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTTARAKĀMĀKHYĀTANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTTARANAIṢADHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTTARAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTTARAR. ed. COW.	book-work	default: bib expansion with no person/periodical signal	pwgbib-case
UTTARARATNA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTTARARĀM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTTARARĀMAC.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTTARARĀMAC. (COWELL)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:UTTARARĀMAC.
UTTARARĀMAC. (ed. COW.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:UTTARARĀMAC.
UTTARARĀMAC. (ed. COWELL)	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UTTARARĀMAC. ed. COW.	book-work	default: bib expansion with no person/periodical signal	pwgbib-case
UTTARARĀMACARITA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UVAṬA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
Uebersetzung dieses Stückes	person-western?	Latin-script surname pattern	no-bib-record
UŚANAS	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UṆ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UṆADIVṚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UṆĀDIK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UṆĀDIS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UṆĀDIS. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:UṆĀDIS.
UṆĀDIS. Ind.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:UṆĀDIS.
UṆĀDIS. Vorrede	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:UṆĀDIS.
UṆĀDIVṚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
UṆĀDIVṚTTI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
Uṇ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAHNI-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAHNI-P., GAṄGĀVATARAṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VAHNI-P.
VAIDY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAIDYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAIDYABH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAIDYADARPAṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAIDYAKA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAIDYAKAPAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAIDYAKAPARIBH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAIDYAKAPARIBHĀṢĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAIDYAKAPRAYOGĀMṚTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAIJ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAIT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAITĀN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAIV. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAJRAS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAJRASŪCI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAJRĀSANASĀDHANAM.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
VAJRĀSANASĀDHANAMĀLĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VALLABHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VALLABHAGAṆI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARARUCI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARĀH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARĀH. BṚH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARĀH. BṚH. S.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARĀH. L. JĀT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARĀH. LAGH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARĀH. LAGHUJ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARĀH. LAGHUJĀT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VARĀH.
VARĀH. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VARĀH.
VARĀH. YĀTRĀ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VARĀH.
VARĀHA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARĀHAMIHIRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARṆADEŚANĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARṆAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VARṆAVIVEKA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VASANTARĀJAŚĀKUNA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VASIṢṬHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VASUBANDHU	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VAṂŚABR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTADARŚANA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTAKĀRIKĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTAPAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTAPARIBH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTAPARIBHĀṢĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTAS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTAS. (1829)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VEDĀNTAS.
VEDĀNTAS. (Allah.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTAS. (Ausg. von 1829)	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTAS. (ed. Calc. 1829)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VEDĀNTAS.
VEDĀNTAS. Allah.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VEDĀNTAS.
VEDĀNTAS. [Allah.]	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTAS. ed. 1829	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VEDĀNTAS.
VEDĀNTASĀRATĪKĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTASŪTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEDĀNTAŚIKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VENDIDĀD ed. WEST.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VENDIDĀD
VET.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VETĀLAPAÑCAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEṆĪS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VEṆĪS. ed. GRILL	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VEṆĪS.
VEṆĪS. lith. Ausg.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VEṆĪS.
VEṆĪSAṂH.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
VICĀRANIRṆAYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VID.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIDAGDHAMUKHAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIDAGDHAMUKHAMAṆḌANA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIDAGDHAMĀDHAVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIDEHĀDHIPA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIDVANMODATARAṂGIṆĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIDYĀRAṆYAMUNI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIDYĀVINODA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIJAYARAKṢITA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIJÑĀNEŚVARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIKR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIKR. (LENZ)	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIKR. ed. BOLL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VIKR.
VIKRAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIKRAMAC.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIKRAMĀDITYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIKRAMĀDITYAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIKRAMĀDITYAKOŚA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIKRAMĀDITYARĀJASABHĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIKRAMĀṄKADEVACARITA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIMALABODHA	book-work	default: bib expansion with no person/periodical signal	no-bib-record
VINAYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VINĀYAKA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIVĀDAC.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIVĀDĀRṆ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIVĀDĀRṆAVAS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIVĀDĀRṆAVASETU	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIVĀHAPADDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIŚV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIŚVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIŚVAGUṆĀDARŚA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIŚVALOCANA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIŚVAN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIŚVAPR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIŚVAPRAKĀŚA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIŚVASĀRAT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIŚVASĀRATANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIṢṆU	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIṢṆU SŪTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VIṢṆU
VIṢṆUDHARM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIṢṆUDHARMOTT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIṢṆUDHARMOTTARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIṢṆUSAHASRANĀMASTOTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIṢṆUSIDDHĀNTASĀRĀVALĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VIṢṆUʼs DHARMAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VIṢṆU
VIṢṆUʼs SAHASRANĀMASTOTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VIṢṆU
VOIGT	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VOIGT, Hort. Calc.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VOIGT
VOP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VOP. (ed. Calc.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VOP. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VOP.
VOP. vor 3,165	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VOP.
VOP. vor 6,34	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VOP.
VOPAD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VOPADEVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VOPĀLITA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VP. (2te Aufl.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VP. (II)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VP.
VP. 2te Aufl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VP.
VP. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VP.
VP. Pref.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VP.
VRAJABHAKTIVILĀSA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VRATARĀJA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VS. ANUKR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VS. App.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VS.
VS. Append.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VS.
VS. Appendix	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VS.
VS. Ausg.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VS.
VS. KĀṆVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VS.
VS. KĀṆVA-Rec.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VS.
VS. PRĀT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VYAVAHĀRAT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VYAVAHĀRATATTVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VYUTP.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
VYĀGHRABH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VYĀGHRABHŪTI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VYĀSA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VYĀḌI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
Verh. d. k. s. Ges. d. W. zu Leipzig, phil.-hist. Kl.	person-author	person descriptor in tooltip	pwgbib-prefix:Verh. d. k. s. Ges. d. W.
Verz. d. B. H.	person-author	person descriptor in tooltip	pwgbib-exact
Verz. d. Cambr. H.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. d. Cambr. Hdschr.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. d. Kop. H.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. d. Kopenh. H.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. d. Oxf.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. d. Oxf. H.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. d. Oxf. H. Addenda et Corrigenda	person-western?	Latin-script surname pattern	pwgbib-prefix:Verz. d. Oxf. H.
Verz. d. P. H.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. d. PET. H.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. d. Pet. H.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
Verz. d. Pet. Hdschr.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. d. T. H.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. d. T. Hdschrr.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. d. Tüb. H.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. d. Tüb. Hdschr.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. der B. H.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. der Oxf. H.	person-western?	Latin-script surname pattern	pwgbib-exact
Verz. der Pet. H.	person-western?	Latin-script surname pattern	pwgbib-exact
Vie de HIOUEN-THSANG	person-western?	Latin-script surname pattern	pwgbib-exact
Vierschach Monatsberr. d. K. Pr. Ak. d. Ww.	person-western?	Latin-script surname pattern	no-bib-record
Vol. IV der Bibl. ind.	person-western?	Latin-script surname pattern	no-bib-record
Vorr. zum DHĀTUP.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Vorrede	person-western?	Latin-script surname pattern	no-bib-record
Vorrede zu AK.	person-western?	Latin-script surname pattern	no-bib-record
Vorrede zu SĀṂKHYAPRAV.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Vorrede zum AIT. BR.	person-western?	Latin-script surname pattern	no-bib-record
Vorrede zum VP.	person-western?	Latin-script surname pattern	no-bib-record
Vorworte zu SĀṂKHYAPRAV.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
VĀCASP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀCASPATI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀCASPATIMIŚRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀGBH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀGBHAṬA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀLAKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀMAKEŚVARATANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀMANA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀMANA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀR. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀRĀHA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀRĀHĪTANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀSAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀSAVAD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀSAVADATT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀSIṢṬHARĀMĀYAṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀTAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀTSY. K.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀTSYĀYANA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀYU-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĀYU-P., GAYĀPADDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VĀYU-P.
Vārtt.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĪR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĪRAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĪRAMITR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĪRAMITROD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĪRAMITRODAYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VĪREŚVARASTOTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VṚDDHA-BṚHASP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VṚDDHA-CĀṆ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VṚDDHA-M.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VṚDDHA-MANU	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VṚDDHACĀṆ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VṚDDHACĀṆ. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:VṚDDHACĀṆ.
VṚDDHAGĀRGYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VṚDDHAMANU	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VṚDDHAYOGATARAṂGIṆĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VṚDDHĀDITYASAṂHITĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VṚNDĀVANAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VṚTTARATNĀV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
VṚTTARATNĀVALĪ	book-work	default: bib expansion with no person/periodical signal	no-bib-record
W. D. WHITNEY	book-work	default: bib expansion with no person/periodical signal	no-bib-record
W. PERTSCH	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WALKER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WALLICH	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WARREN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WARREN, KALA SANK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:WARREN
WARREN, KALA SANK. Useful Tables	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:WARREN
WARREN, KĀLASAṂK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:WARREN
WASSILJEW	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WATSON	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WEBER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WEBER, BHAG.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WEBER, BHAGAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:WEBER
WEBER, BHAGAVATĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:WEBER
BHAGAVATĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WEBER, HĀLA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:WEBER
WEBER, Ind. Lit.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WEBER, Ind. St.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WEBER, Ind. Str.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:WEBER
WEBER, Ind. Streifen	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WEBER, Indische Skizzen	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WEBER, Indische Streifen	journal-periodical	periodical keyword in tooltip	pwgbib-exact
WEBER, JYOT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WEBER, KṚṢNAJ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:WEBER
WEBER, KṚṢṆAJ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WEBER, Lit.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
WEBER, Nax.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:WEBER
WEBER, Naxatra	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:WEBER
